beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID_collapsed_controls,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
G30Y77_exp1B,183,1,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.48986,0.51109,0.02123,NA,NA,0.141,0.441,0.3,0.3
G23Y2129_exp3A,237,3,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.44027,0.44803,0.00776,NA,NA,0.53,0.467,-0.063,-0.063
G23Y5017_exp2A,174,2,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.39082,0.43765,0.04683,-0.00293,1,0.377,0.551,0.174,0.174
O4B25_exp3B,250,3,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.44919,0.41233,-0.03686,NA,NA,NA,NA,NA,NA
G29Y70_exp1A,168,1,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.33165,0.39036,0.05871,-0.0063,1,0.085,0.287,0.202,0.202
G30Y75_exp1B,163,1,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.32025,0.39022,0.06997,-0.00747,0,0.18,0.368,0.188,0.188
G23Y2820_exp2A,226,2,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.47551,0.38743,-0.08808,NA,NA,0.49,0.038,-0.452,-0.452
O5G2_exp3B,238,3,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.32173,0.38218,0.06045,-0.0057,0,0.3,0.312,0.012,0.012
G23Y1819_exp3A,223,3,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.35818,0.34143,-0.01675,-0.00275,1,0.391,0.447,0.056,0.056
G30Y76_exp1B,169,1,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.3001,0.31425,0.01415,-0.00245,1,0.243,0.461,0.218,0.218
G23Y1819_exp2A,199,2,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.29369,0.31357,0.01988,-0.0023,0,0.331,0.522,0.191,0.191
G23Y2820_exp3A,237,3,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.34505,0.27724,-0.06781,-0.00138,0,0.428,0.362,-0.066,-0.066
G25Y46_exp2B,184,2,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,0.28063,0.25883,-0.0218,-0.00364,1,0.446,0.385,-0.061,-0.061
G30Y78_exp1B,160,1,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.45442,0.69288,0.23846,-0.00743,0,0.483,0.572,0.089,0.089
G23Y2129_exp2A,185,2,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.46943,0.54178,0.07235,-0.00303,0,0.432,0.593,0.161,0.161
O5G4_exp3B,251,3,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.54591,0.52769,-0.01822,NA,NA,0.542,0.43,-0.112,-0.112
O5G3_exp3B,242,3,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.45061,0.51918,0.06857,-0.00482,1,0.312,0.346,0.034,0.034
G30Y79_exp1B,171,1,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.49973,0.49576,-0.00397,-0.00527,1,0.349,0.56,0.211,0.211
O5G5_exp3B,245,3,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.41133,0.45131,0.03998,-0.00338,0,0.507,0.051,-0.456,-0.456
G25Y49_exp2B,223,2,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.38775,0.40449,0.01674,-0.00367,1,0.514,0.589,0.075,0.075
G23Y5017_exp3A,240,3,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.39073,0.36036,-0.03037,-0.00419,0,0.497,0.046,-0.451,-0.451
G23Y3130_exp3A,239,3,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.26144,0.35941,0.09797,-0.00772,1,0.581,0.201,-0.38,-0.38
G29Y72_exp1A,142,1,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.37253,0.35058,-0.02195,NA,NA,0.429,0.393,-0.036,-0.036
G29Y73_exp1A,147,1,A,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.45222,0.32163,-0.13059,-0.00448,0,0.417,0.545,0.128,0.128
G25Y47_exp2B,171,2,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,0.31928,0.28144,-0.03784,-0.00413,0,0.536,0.079,-0.457,-0.457
