num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
23,7_26_22,1,A,2,0,C6,C6,-0.00462,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y1B10,1A,Y1B10_exp1A,142,25,0
23,7_26_22,1,A,2,1,C6,C6,-0.00391,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y1B12,1A,Y1B12_exp1A,153,25,0
23,7_26_22,1,B,2,0,C6,C6,-0.00654,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y5B38,1B,Y5B38_exp1B,161,62,0
23,7_26_22,1,B,2,1,C6,C6,-0.00484,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y5B39,1B,Y5B39_exp1B,171,62,0
23,08_15_22,2,A,2,0,C6,C6,-0.00213,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y3B28,2A,Y3B28_exp2A,185,93,0
24,08_15_22,2,A,2,1,D6,D6,-0.00519,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y3B29,2A,Y3B29_exp2A,206,93,0
23,08_20_22,2,B,2,0,C6,C6,-0.00439,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y1B10,2B,Y1B10_exp2B,171,121,0
24,08_20_22,2,B,2,1,D6,D6,-0.00248,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,Y1B12,2B,Y1B12_exp2B,223,121,0
23,09_05_22,3,B,2,0,C6,C6,-0.0023,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,O12Y4,3B,O12Y4_exp3B,246,164,0
24,09_05_22,3,B,2,1,D6,D6,NA,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,5,20,F,S,O12Y5,3B,O12Y5_exp3B,256,164,0
24,7_26_22,1,A,2,1,D6,D6,NA,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y10B50,1A,Y10B50_exp1A,168,26,0
24,7_26_22,1,A,2,0,D6,D6,-0.00585,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y10B51,1A,Y10B51_exp1A,150,26,0
24,7_26_22,1,B,2,0,D6,D6,-0.00815,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y13B70,1B,Y13B70_exp1B,166,57,0
24,7_26_22,1,B,2,1,D6,D6,-0.00572,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y13B72,1B,Y13B72_exp1B,184,57,0
24,08_15_22,2,A,2,0,D6,D6,-0.0031,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y4B30,2A,Y4B30_exp2A,187,94,0
3,08_15_22,2,A,3,1,C1,C1,-0.00308,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y4B31,2A,Y4B31_exp2A,204,94,0
24,08_20_22,2,B,2,0,D6,D6,-0.00245,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y5B35,2B,Y5B35_exp2B,169,128,0
3,08_20_22,2,B,3,1,C1,C1,-0.00664,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,Y5B36,2B,Y5B36_exp2B,209,128,0
