date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_29_22,06_30_22,169,I,169I,116,13,APO,2,B,B15,G22,B15G22,2B,B15G22_exp2B,169,98,20,0.528,0.47,-0.058,-0.109848485,-2.847312268,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,07_01_22,203,C,203C,136,2,APO,2,B,B15,G23,B15G23,2B,B15G23_exp2B,203,98,20,0.432,0.37,-0.062,-0.143518519,-2.780620894,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_29_22,06_30_22,180,A,180A,123,15,SYM,2,B,B15,G24,B15G24,2B,B15G24_exp2B,180,98,20,0.509,0.581,0.072,0.141453831,-2.63108916,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_05_22,208,A,208A,139,1,SYM,2,B,B15,G25,B15G25,2B,B15G25_exp2B,208,98,20,0.505,0.587,0.082,0.162376238,-2.501036032,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,07_07_22,224,A,224A,146,6,SYM,2,B,B15,G26,B15G26,2B,B15G26_exp2B,224,98,20,0.562,0.592,0.03,0.053380783,-3.506557897,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,167,Z,167Z,115,1,APO,2,B,B31,G77,B31G77,2B,B31G77_exp2B,167,101,30,0.325,0.279,-0.046,-0.141538462,-3.079113882,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,195,B,195B,131,5,APO,2,B,B31,G78,B31G78,2B,B31G78_exp2B,195,101,30,0.542,0.376,-0.166,-0.306273063,-1.795767491,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,174,F,174F,121,6,SYM,2,B,B31,G79,B31G79,2B,B31G79_exp2B,174,101,30,0.529,0.453,-0.076,-0.143667297,-2.577021939,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,206,C,206C,136,15,SYM,2,B,B31,G80,B31G80,2B,B31G80_exp2B,206,101,30,0.546,0.205,-0.341,-0.624542125,-1.075872802,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,223,H,223H,146,2,SYM,2,B,B31,G82,B31G82,2B,B31G82_exp2B,223,101,30,0.553,0.472,-0.081,-0.146473779,-2.513306124,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,170,B,170B,117,5,APO,2,B,B32,G83,B32G83,2B,B32G83_exp2B,170,102,30,0.525,0.434,-0.091,-0.173333333,-2.396895772,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,07_05_22,211,B,211B,140,16,APO,2,B,B32,G84,B32G84,2B,B32G84_exp2B,211,102,30,0.467,0.454,-0.013,-0.027837259,-4.342805922,N_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
06_29_22,06_30_22,188,D,188D,129,4,SYM,2,B,B32,G85,B32G85,2B,B32G85_exp2B,188,102,30,0.564,0.469,-0.095,-0.168439716,-2.353878387,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_05_22,208,I,208I,139,9,SYM,2,B,B32,G87,B32G87,2B,B32G87_exp2B,208,102,30,0.511,0.529,0.018,0.035225049,-4.017383521,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
06_29_22,07_07_22,225,H,225H,147,3,SYM,2,B,B32,G88,B32G88,2B,B32G88_exp2B,225,102,30,0.485,0.485,0,0,0,N_0_30_S_S,CNTRL_0_30_S_S,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,S,S_S
08_01_22,08_03_22,239,B,239B,160,6,SYM,3,A,B13,G10,B13G10,3A,B13G10_exp3A,239,129,20,0.545,0.591,0.046,0.08440367,-3.079113882,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
