exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,beetag,beetag_exp_concat,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_delta
1,B,A,7.5,A_7.5,20,F,S,F_S,A_7.5_20_F_S,Y20B100,Y20B100_exp1B,1,Y20B100_day1_exp1B,Y20B100_1B_day1.JPG,0.48714,Y20B100_day11_exp1B,Y20B100_1B_day11.JPG,0.51491,0.02777
2,B,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,G28Y62,G28Y62_exp2B,1,G28Y62_day1_exp2B,G28Y62_2B_day1.JPG,0.46087,G28Y62_day11_exp2B,G28Y62_2B_day11.JPG,0.51464,0.05377
1,B,A,10,A_10,30,F,A,F_A,A_10_30_F_A,R1W2,R1W2_exp1B,1,R1W2_day1_exp1B,R1W2_1B_day1.JPG,0.50214,R1W2_day11_exp1B,R1W2_1B_day11.JPG,0.51256,0.01042
3,B,A,5,A_5,30,F,S,F_S,A_5_30_F_S,W8O38,W8O38_exp3B,1,W8O38_day1_exp3B,W8O38_3B_day1.JPG,0.49945,W8O38_day11_exp3B,W8O38_3B_day11.JPG,0.51253,0.01308
3,A,A,5,A_5,20,F,A,F_A,A_5_20_F_A,G30Y75,G30Y75_exp3A,1,G30Y75_day1_exp3A,G30Y75_3A_day1.JPG,0.48772,G30Y75_day11_exp3A,G30Y75_3A_day11.JPG,0.51221,0.02449
2,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,G25Y45,G25Y45_exp2B,1,G25Y45_day1_exp2B,G25Y45_2B_day1.JPG,0.53314,G25Y45_day11_exp2B,G25Y45_2B_day11.JPG,0.512,-0.02114
1,A,A,0,A_0,30,S,A,S_A,CNTRL_30_S_A,B33G92,B33G92_exp1A,1,B33G92_day1_exp1A,B33G92_1A_day1.JPG,0.45585,B33G92_day11_exp1A,B33G92_1A_day11.JPG,0.51177,0.05592
1,B,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,G30Y77,G30Y77_exp1B,1,G30Y77_day1_exp1B,G30Y77_1B_day1.JPG,0.48986,G30Y77_day11_exp1B,G30Y77_1B_day11.JPG,0.51109,0.02123
2,A,N,18,N_18,20,F,A,F_A,N_18_20_F_A,R1W3,R1W3_exp2A,1,R1W3_day1_exp2A,R1W3_2A_day1.JPG,0.41184,R1W3_day11_exp2A,R1W3_2A_day11.JPG,0.51051,0.09867
1,B,N,1.5,N_1.5,30,F,S,F_S,N_1.5_30_F_S,G23Y3130,G23Y3130_exp1B,1,G23Y3130_day1_exp1B,G23Y31_1B_day1.JPG,0.40352,G23Y3130_day11_exp1B,G23Y2820_1B_day11.JPG,0.51037,0.10685
