beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
G33Y1_exp3A,-0.00407,-0.04057,0.065,N_1.5_30_A,1.5,30,A,1,226
G23Y5017_exp1B,-0.00272,-0.11152,-0.26,N_1.5_30_A,1.5,30,A,1,165
G28Y62_exp1A,-0.00382,0.06549,0.085,N_1.5_30_A,1.5,30,A,1,168
G26Y51_exp2B,-0.00219,-0.02709,-0.254,N_1.5_30_A,1.5,30,A,1,196
G33Y97_exp2A,-0.00328,-0.0163,-0.18,N_1.5_30_A,1.5,30,A,1,227
G23Y3130_exp1B,-0.00385,0.10685,0.162,N_1.5_30_S,1.5,30,S,1,171
G33Y100_exp3A,-0.00572,0.13533,-0.008,N_1.5_30_S,1.5,30,S,1,240
G33Y100_exp2A,-0.0038,0.06261,-0.103,N_1.5_30_S,1.5,30,S,1,185
G34Y4_exp2A,-0.0055,-0.03985,0.166,N_1.5_30_A,1.5,30,A,1,207
G25Y46_exp1A,-0.00276,0.01901,0.119,N_1.5_30_A,1.5,30,A,1,151
G28Y63_exp2B,-0.00272,-0.06771,-0.077,N_1.5_30_A,1.5,30,A,1,212
W5O30_exp3B,-0.00493,-0.08284,0.152,N_1.5_30_A,1.5,30,A,1,242
G34Y4_exp3A,-0.006,-0.05163,0.236,N_1.5_30_A,1.5,30,A,1,237
G24Y42_exp1B,-0.00251,0.01706,-0.058,N_1.5_30_A,1.5,30,A,1,184
G25Y48_exp1A,-0.00327,0.01875,0.114,N_1.5_30_S,1.5,30,S,1,155
G34Y11_exp2A,-0.00482,0.03367,0.28,N_1.5_30_S,1.5,30,S,1,211
G34Y11_exp3A,-0.00283,-0.00286,-0.052,N_1.5_30_S,1.5,30,S,1,241
G28Y67_exp2B,-0.0041,0.02437,0.04,N_1.5_30_S,1.5,30,S,1,225
W7O32_exp3B,-0.00446,0.00531,0.184,N_1.5_30_S,1.5,30,S,1,244
R3W8_exp1A,-0.00378,-0.14862,0.064,N_18_20_A,18,20,A,1,168
R10W46_exp1B,-0.00288,-0.01485,0.267,N_18_20_A,18,20,A,1,169
R3W8_exp2B,-0.00971,0.00761,0.024,N_18_20_A,18,20,A,1,159
R3W13_exp2B,-0.0046,-0.02242,0.075,N_18_20_S,18,20,S,1,223
R1W7_exp2A,-0.00384,-0.03801,0.132,N_18_20_S,18,20,S,1,185
R10W49_exp1B,-0.00652,0.0177,0.141,N_18_20_S,18,20,S,1,171
R3W13_exp1A,-0.00492,-0.00821,0.012,N_18_20_S,18,20,S,1,153
R4W15_exp2B,-0.00752,0.01607,-0.064,N_18_20_A,18,20,A,1,210
O1B5_exp3B,-0.00328,-0.1014,0.446,N_18_20_A,18,20,A,1,256
O8G8_exp3B,-0.00286,0.05694,0.011,N_18_20_A,18,20,A,1,238
R11W52_exp1B,-0.00439,-0.0471,0.147,N_18_20_A,18,20,A,1,184
R5W22_exp1A,-0.00533,-0.00487,0.025,N_18_20_A,18,20,A,1,151
R10W47_exp2A,-0.0036,0.00956,-0.122,N_18_20_A,18,20,A,1,228
R10W49_exp2A,-0.00205,0.05722,0.055,N_18_20_S,18,20,S,1,208
R11W54_exp1B,-0.00564,0.01263,-0.215,N_18_20_S,18,20,S,1,172
R5W27_exp1A,-0.0065,-0.03092,0.068,N_18_20_S,18,20,S,1,157
R4W34_exp2B,-0.00797,-0.04541,-0.098,N_18_20_S,18,20,S,1,225
R7W36_exp2B,-0.0075,0.03348,0.064,N_18_30_A,18,30,A,1,201
R14W72_exp2A,-0.00454,0.03817,-0.267,N_18_30_A,18,30,A,1,228
R14W71_exp3A,-0.00502,0.03245,-0.012,N_18_30_A,18,30,A,1,237
R4W14_exp1A,-0.00411,-0.04741,0.006,N_18_30_A,18,30,A,1,168
R21W97_exp1B,-0.0043,-0.01186,-0.042,N_18_30_A,18,30,A,1,184
W15O71_exp3B,-0.00587,0.03736,0.449,N_18_30_S,18,30,S,1,246
R7W38_exp2B,-0.00493,0.01239,-0.191,N_18_30_S,18,30,S,1,207
R4W34_exp1A,-0.00551,-0.1061,-0.281,N_18_30_S,18,30,S,1,153
R14W74_exp2A,-0.00291,-0.01516,-0.416,N_18_30_S,18,30,S,1,207
W15O69_exp3B,-0.00694,-0.14507,0.194,N_18_30_S,18,30,S,1,242
R21W55_exp1B,-0.00452,-0.06321,0.351,N_18_30_S,18,30,S,1,171
R14W74_exp3A,-0.00545,0.03098,-0.361,N_18_30_A,18,30,A,1,240
R8W41_exp2B,-0.00515,0.0167,-0.098,N_18_30_A,18,30,A,1,212
R6W28_exp1A,-0.00566,-0.02286,0.045,N_18_30_A,18,30,A,1,163
R15W77_exp2A,-0.00374,0.01416,0.284,N_18_30_A,18,30,A,1,231
R17W83_exp1B,-0.00306,-0.01771,0.011,N_18_30_A,18,30,A,1,184
R8W44_exp2B,-0.00322,-0.01001,-0.164,N_18_30_S,18,30,S,1,226
R6W31_exp1A,-0.00451,-0.06632,-0.095,N_18_30_S,18,30,S,1,155
W16O74_exp3B,-0.00886,-0.00156,0.198,N_18_30_S,18,30,S,1,244
R15W79_exp2A,-0.00338,-0.05843,-0.012,N_18_30_S,18,30,S,1,218
