num,date,time,temp,light_intensity,chamber_or_temperate,exp_num,exp_A,exp_B
307,7/21/2022,7:13:50 PM,30.963,0,chamber,1,1,1
308,7/21/2022,7:43:50 PM,30.862,322.9,chamber,1,1,1
309,7/21/2022,8:13:50 PM,30.862,322.9,chamber,1,1,1
310,7/21/2022,8:43:50 PM,30.659,0,chamber,1,1,1
311,7/21/2022,9:13:50 PM,30.659,0,chamber,1,1,1
312,7/21/2022,9:43:50 PM,30.558,0,chamber,1,1,1
313,7/21/2022,10:13:50 PM,30.457,0,chamber,1,1,1
314,7/21/2022,10:43:50 PM,30.457,0,chamber,1,1,1
315,7/21/2022,11:13:50 PM,30.356,0,chamber,1,1,1
316,7/21/2022,11:43:50 PM,30.356,0,chamber,1,1,1
317,7/22/2022,12:13:50 AM,30.255,0,chamber,1,1,1
318,7/22/2022,12:43:50 AM,30.154,312.2,chamber,1,1,1
319,7/22/2022,1:13:50 AM,30.154,0,chamber,1,1,1
320,7/22/2022,1:43:50 AM,30.154,0,chamber,1,1,1
321,7/22/2022,2:13:50 AM,30.054,0,chamber,1,1,1
322,7/22/2022,2:43:50 AM,30.054,0,chamber,1,1,1
323,7/22/2022,3:13:50 AM,30.054,0,chamber,1,1,1
324,7/22/2022,3:43:50 AM,29.953,0,chamber,1,1,1
325,7/22/2022,4:13:50 AM,29.953,0,chamber,1,1,1
326,7/22/2022,4:43:50 AM,29.953,0,chamber,1,1,1
327,7/22/2022,5:13:50 AM,29.953,0,chamber,1,1,1
328,7/22/2022,5:43:50 AM,29.853,0,chamber,1,1,1
329,7/22/2022,6:13:50 AM,29.853,0,chamber,1,1,1
330,7/22/2022,6:43:50 AM,29.853,0,chamber,1,1,1
331,7/22/2022,7:13:50 AM,29.752,0,chamber,1,1,1
332,7/22/2022,7:43:50 AM,29.752,0,chamber,1,1,1
333,7/22/2022,8:13:50 AM,29.752,0,chamber,1,1,1
334,7/22/2022,8:43:50 AM,29.853,312.2,chamber,1,1,1
335,7/22/2022,9:13:50 AM,29.853,344.4,chamber,1,1,1
336,7/22/2022,9:43:50 AM,30.054,839.6,chamber,1,1,1
337,7/22/2022,10:13:50 AM,30.154,355.2,chamber,1,1,1
338,7/22/2022,10:43:50 AM,30.255,0,chamber,1,1,1
339,7/22/2022,11:13:50 AM,30.255,839.6,chamber,1,1,1
340,7/22/2022,11:43:50 AM,29.953,0,chamber,1,1,1
341,7/22/2022,12:13:50 PM,30.255,236.8,chamber,1,1,1
342,7/22/2022,12:43:50 PM,29.953,290.6,chamber,1,1,1
343,7/22/2022,1:13:50 PM,29.953,269.1,chamber,1,1,1
344,7/22/2022,1:43:50 PM,29.953,269.1,chamber,1,1,1
345,7/22/2022,2:13:50 PM,29.552,150.7,chamber,1,1,1
346,7/22/2022,2:43:50 PM,29.252,322.9,chamber,1,1,1
347,7/22/2022,3:13:50 PM,29.152,452.1,chamber,1,1,1
348,7/22/2022,3:43:50 PM,29.053,355.2,chamber,1,1,1
349,7/22/2022,4:13:50 PM,29.053,0,chamber,1,1,1
350,7/22/2022,4:43:50 PM,28.953,387.5,chamber,1,1,1
351,7/22/2022,5:13:50 PM,28.953,172.2,chamber,1,1,1
352,7/22/2022,5:43:50 PM,29.053,366,chamber,1,1,1
353,7/22/2022,6:13:50 PM,29.252,366,chamber,1,1,1
354,7/22/2022,6:43:50 PM,29.053,161.5,chamber,1,1,1
355,7/22/2022,7:13:50 PM,29.053,150.7,chamber,1,1,1
356,7/22/2022,7:43:50 PM,29.053,161.5,chamber,1,1,1
357,7/22/2022,8:13:50 PM,29.053,161.5,chamber,1,1,1
358,7/22/2022,8:43:50 PM,29.053,0,chamber,1,1,1
359,7/22/2022,9:13:50 PM,28.953,0,chamber,1,1,1
360,7/22/2022,9:43:50 PM,28.953,0,chamber,1,1,1
361,7/22/2022,10:13:50 PM,28.953,0,chamber,1,1,1
362,7/22/2022,10:43:50 PM,28.953,0,chamber,1,1,1
363,7/22/2022,11:13:50 PM,28.853,150.7,chamber,1,1,1
364,7/22/2022,11:43:50 PM,28.953,0,chamber,1,1,1
365,7/23/2022,12:13:50 AM,29.053,0,chamber,1,1,1
366,7/23/2022,12:43:50 AM,28.853,0,chamber,1,1,1
367,7/23/2022,1:13:50 AM,28.853,0,chamber,1,1,1
368,7/23/2022,1:43:50 AM,28.853,0,chamber,1,1,1
369,7/23/2022,2:13:50 AM,28.853,0,chamber,1,1,1
370,7/23/2022,2:43:50 AM,28.853,0,chamber,1,1,1
371,7/23/2022,3:13:50 AM,28.853,0,chamber,1,1,1
372,7/23/2022,3:43:50 AM,28.853,0,chamber,1,1,1
373,7/23/2022,4:13:50 AM,28.853,0,chamber,1,1,1
374,7/23/2022,4:43:50 AM,28.853,0,chamber,1,1,1
375,7/23/2022,5:13:50 AM,28.853,0,chamber,1,1,1
376,7/23/2022,5:43:50 AM,28.853,0,chamber,1,1,1
377,7/23/2022,6:13:50 AM,29.053,0,chamber,1,1,1
378,7/23/2022,6:43:50 AM,28.853,0,chamber,1,1,1
379,7/23/2022,7:13:50 AM,28.754,0,chamber,1,1,1
380,7/23/2022,7:43:50 AM,28.754,0,chamber,1,1,1
381,7/23/2022,8:13:50 AM,28.853,150.7,chamber,1,1,1
382,7/23/2022,8:43:50 AM,28.853,0,chamber,1,1,1
383,7/23/2022,9:13:50 AM,28.953,0,chamber,1,1,1
384,7/23/2022,9:43:50 AM,29.053,366,chamber,1,1,1
