num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
18,09_05_22,3,B,1,1,B5,B5,-0.00274,-0.03696839,0.03696839,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W2O8,3B,W2O8_exp3B,244,186,0
18,7_26_22,1,A,1,0,B5,B5,-0.00328,-0.064881032,0.064881032,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B30G75,1A,B30G75_exp1A,154,5,0
19,7_26_22,1,A,1,1,C5,C5,-0.00492,-0.117202826,0.117202826,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B30G76,1A,B30G76_exp1A,157,5,0
18,7_26_22,1,B,1,0,B5,B5,-0.00305,-0.071109843,0.071109843,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B32G87,1B,B32G87_exp1B,164,40,0
19,7_26_22,1,B,1,1,C5,C5,-0.00274,-0.073622419,0.073622419,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B32G88,1B,B32G88_exp1B,172,40,0
18,08_15_22,2,A,1,0,B5,B5,-0.00713,-0.107485748,0.107485748,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G51,2A,B26G51_exp2A,196,70,0
19,08_15_22,2,A,1,1,C5,C5,-0.00346,-0.147341026,0.147341026,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G52,2A,B26G52_exp2A,208,70,0
18,08_20_22,2,B,1,0,B5,B5,-0.00728,-0.080239079,0.080239079,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B32G87,2B,B32G87_exp2B,208,102,0
19,08_20_22,2,B,1,1,C5,C5,-0.0041,-0.079826683,0.079826683,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B32G88,2B,B32G88_exp2B,225,102,0
19,09_01_22,3,A,1,1,C5,C5,-0.00489,-0.105525172,0.105525172,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G51,3A,B26G51_exp3A,239,134,0
18,09_01_22,3,A,1,0,B5,B5,-0.00534,-0.094159604,0.094159604,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G52,3A,B26G52_exp3A,241,134,0
18,09_05_22,3,B,1,0,B5,B5,-0.00351,-0.035901292,0.035901292,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W2O10,3B,W2O10_exp3B,250,186,0
19,09_05_22,3,B,1,1,C5,C5,-0.00215,-0.07983327,0.07983327,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W2O11,3B,W2O11_exp3B,252,186,0
6,7_26_22,1,A,2,1,B2,B2,-0.0063,-0.083640201,0.083640201,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G29Y70,1A,G29Y70_exp1A,168,12,0
6,7_26_22,1,A,2,0,B2,B2,-0.00469,-0.058067404,0.058067404,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G29Y71,1A,G29Y71_exp1A,150,12,0
6,7_26_22,1,B,2,0,B2,B2,-0.00747,-0.068920315,0.068920315,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G30Y75,1B,G30Y75_exp1B,163,43,0
6,7_26_22,1,B,2,1,B2,B2,-0.00245,-0.049727235,0.049727235,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G30Y76,1B,G30Y76_exp1B,169,43,0
6,08_15_22,2,A,2,0,B2,B2,-0.0023,-0.027683694,0.027683694,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G23Y1819,2A,G23Y1819_exp2A,199,73,0
7,08_15_22,2,A,2,1,C2,C2,-0.00293,-0.084661216,0.084661216,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G23Y5017,2A,G23Y5017_exp2A,174,73,0
6,08_20_22,2,B,2,0,B2,B2,-0.00513,-0.062114904,0.062114904,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G25Y45,2B,G25Y45_exp2B,157,105,0
7,08_20_22,2,B,2,1,C2,C2,-0.00364,-0.075849499,0.075849499,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G25Y46,2B,G25Y46_exp2B,184,105,0
7,09_01_22,3,A,2,1,C2,C2,-0.00275,-0.074366219,0.074366219,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G23Y1819,3A,G23Y1819_exp3A,223,137,0
6,09_01_22,3,A,2,0,B2,B2,-0.00138,-0.079101101,0.079101101,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G23Y2820,3A,G23Y2820_exp3A,237,137,0
6,09_05_22,3,B,2,0,B2,B2,-0.0057,-0.050214155,0.050214155,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,O5G2,3B,O5G2_exp3B,238,175,0
7,09_05_22,3,B,2,1,C2,C2,-0.00482,-0.092744897,0.092744897,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,O5G3,3B,O5G3_exp3B,242,175,0
7,7_26_22,1,A,2,0,C2,C2,-0.00448,-0.060048299,0.060048299,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G29Y73,1A,G29Y73_exp1A,147,12,0
7,7_26_22,1,A,2,1,C2,C2,-0.00507,-0.108990843,0.108990843,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,G29Y74,1A,G29Y74_exp1A,153,12,0
