,beetag,exprun,n_species,col_num,beetag_exprun,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,N_species_dose,temp,food,sym_state,red_day1,green_day1,blue_day1,red_day11,green_day11,blue_day11,red_delta,red_percent_change,NO3_category
137,R21W94,exp2A,Ammonium,198,R21W94_exp2A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,159.7769163,150.3529682,112.6196697,188.4133189,179.2276324,134.1700438,28.63640259,17.92274081,Low
201,R21W94,exp3A,Ammonium,237,R21W94_exp3A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,148.4229612,165.3904383,140.6470879,137.1191337,150.4724129,122.1335239,-11.30382746,-7.615956033,Low
773,R21W95,exp1B,Nitrate,170,R21W95_exp1B,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,177.8023161,150.8093919,133.2451427,180.9471096,152.3506869,112.8086083,3.144793468,1.768702195,Elevated
211,R21W95,exp2A,Ammonium,226,R21W95_exp2A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,154.8145963,147.8168332,88.45832,139.0678409,105.5508645,64.96781232,-15.74675536,-10.17136351,Low
222,R21W95,exp3A,Ammonium,237,R21W95_exp3A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,152.4506554,168.7961654,140.3760012,129.930918,137.5309091,108.4217371,-22.51973742,-14.77182066,Low
756,R21W97,exp1B,Nitrate,184,R21W97_exp1B,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18,30,F,A,141.3685967,163.9672992,141.5816773,155.4817833,184.2294045,171.4329135,14.1131866,9.983254362,Elevated
351,R21W97,exp3A,Ammonium,238,R21W97_exp3A,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5,30,S,A,144.9756778,171.4568459,156.3522965,112.2466789,125.845752,101.1292001,-32.72899884,-22.57551014,Low
181,R21Y97,exp2A,Ammonium,174,R21Y97_exp2A,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10,30,S,A,190.6920177,182.9674631,150.579583,188.2331931,189.17643,144.020107,-2.458824628,-1.289421895,Low
735,R3W10,exp1A,Nitrate,150,R3W10_exp1A,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,170.5697279,192.3753382,165.2052628,224.3912421,212.8268032,185.7028313,53.82151417,31.55396612,Elevated
754,R3W10,exp2B,Nitrate,194,R3W10_exp2B,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,81.18489115,72.151578,45.99487294,90.42694384,85.30594191,58.42803108,9.242052686,11.38395649,Elevated
826,R3W8,exp1A,Nitrate,168,R3W8_exp1A,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,227.7666019,233.1367389,211.8292855,173.3797137,201.4449212,172.5335708,-54.3868882,-23.87834201,Elevated
751,R3W8,exp2B,Nitrate,159,R3W8_exp2B,N_18_20_F_A,N_18_20_F,10.9255,4.173,N_18,20,F,A,97.32069372,98.38292422,82.61618565,110.050373,116.5604252,100.708502,12.72967926,13.08013617,Elevated
