col_num,treat_ID_full,red_day1,red_day11,red_delta,red_percent_change,pollution,dose,temp,feed,symbiont,rgb_status,PercOutliersCheck,dose_level,new_treat_ID_full
206,N_1.5_20_S_A,139.9153044,164.9472624,25.03195796,17.89079334,Nitrate,1.5,20,Starved,Aposymbiotic,bleached,NA,Low,Nitrate_Low_20_Starved_Aposymbiotic
237,A_0_30_S_A,173.7234549,204.7579487,31.03449385,17.86430846,Ammonium,0,30,Starved,Aposymbiotic,bleached,NA,control-0,Ammonium_control-0_30_Starved_Aposymbiotic
224,A_10_20_S_A,111.4352117,131.2473459,19.81213419,17.77906093,Ammonium,10,20,Starved,Aposymbiotic,bleached,NA,High,Ammonium_High_20_Starved_Aposymbiotic
161,N_0_30_F_S,114.7299142,134.9972383,20.26732406,17.66524815,Nitrate,0,30,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Fed_Symbiotic
232,A_5_20_F_A,190.2414811,223.8471059,33.60562475,17.66471989,Ammonium,5,20,Fed,Aposymbiotic,bleached,NA,Low,Ammonium_Low_20_Fed_Aposymbiotic
201,A_0_20_S_S,134.83682,158.6025759,23.76575599,17.62556845,Ammonium,0,20,Starved,Symbiotic,bleached,NA,control-0,Ammonium_control-0_20_Starved_Symbiotic
241,A_10_20_S_A,126.3482807,148.4935795,22.14529886,17.52718655,Ammonium,10,20,Starved,Aposymbiotic,bleached,NA,High,Ammonium_High_20_Starved_Aposymbiotic
167,A_5_20_S_S,234.5043976,275.4409153,40.93651774,17.45660984,Ammonium,5,20,Starved,Symbiotic,bleached,NA,Low,Ammonium_Low_20_Starved_Symbiotic
230,N_1.5_20_S,112.8160074,132.4830981,19.6670907,17.4328902,Nitrate,1.5,20,Starved,Symbiotic,bleached,NA,Low,Nitrate_Low_20_Starved_Symbiotic
249,A_10_30_F_S,140.8463692,165.3790959,24.53272674,17.41807537,Ammonium,10,30,Fed,Symbiotic,bleached,NA,High,Ammonium_High_30_Fed_Symbiotic
209,N_18_30_S_A,61.6200244,72.33013925,10.71011485,17.38090004,Nitrate,18,30,Starved,Aposymbiotic,bleached,NA,High,Nitrate_High_30_Starved_Aposymbiotic
175,N_0_20_F_S,106.9168053,125.4749982,18.55819292,17.35760143,Nitrate,0,20,Fed,Symbiotic,bleached,NA,control-0,Nitrate_control-0_20_Fed_Symbiotic
