"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full"
"122",168,"N_5_30_F_A",1,0.079092129,"Nitrate","5","30","Fed","Aposymbiotic","Medium","Nitrate_Medium_30_Fed_Aposymbiotic"
"123",150,"N_5_30_F_A",0,0.077549336,"Nitrate","5","30","Fed","Aposymbiotic","Medium","Nitrate_Medium_30_Fed_Aposymbiotic"
"124",149,"N_5_30_F_S",0,0.10531396,"Nitrate","5","30","Fed","Symbiotic","Medium","Nitrate_Medium_30_Fed_Symbiotic"
"125",153,"N_5_30_F_S",1,0.063307962,"Nitrate","5","30","Fed","Symbiotic","Medium","Nitrate_Medium_30_Fed_Symbiotic"
"126",167,"A_0_30_F_S",0,0.106007159,"Ammonium","0","30","Fed","Symbiotic","control-0","Ammonium_control-0_30_Fed_Symbiotic"
"127",178,"A_0_30_F_S",1,0.129313748,"Ammonium","0","30","Fed","Symbiotic","control-0","Ammonium_control-0_30_Fed_Symbiotic"
"128",167,"A_0_30_F_A",0,0.053979666,"Ammonium","0","30","Fed","Aposymbiotic","control-0","Ammonium_control-0_30_Fed_Aposymbiotic"
"129",184,"A_0_30_F_A",1,0.054029232,"Ammonium","0","30","Fed","Aposymbiotic","control-0","Ammonium_control-0_30_Fed_Aposymbiotic"
"130",169,"N_0_20_F_A",0,0.029779574,"Nitrate","0","20","Fed","Aposymbiotic","control-0","Nitrate_control-0_20_Fed_Aposymbiotic"
"131",183,"N_0_20_F_A",1,0.105677898,"Nitrate","0","20","Fed","Aposymbiotic","control-0","Nitrate_control-0_20_Fed_Aposymbiotic"
"132",171,"N_0_20_F_S",1,0.09258878,"Nitrate","0","20","Fed","Symbiotic","control-0","Nitrate_control-0_20_Fed_Symbiotic"
"133",166,"N_0_20_S_A",0,0.114291338,"Nitrate","0","20","Starved","Aposymbiotic","control-0","Nitrate_control-0_20_Starved_Aposymbiotic"
"134",184,"N_0_20_S_A",1,0.109507129,"Nitrate","0","20","Starved","Aposymbiotic","control-0","Nitrate_control-0_20_Starved_Aposymbiotic"
"135",164,"N_0_20_S_S",0,0.071908984,"Nitrate","0","20","Starved","Symbiotic","control-0","Nitrate_control-0_20_Starved_Symbiotic"
"136",172,"N_0_20_S_S",1,0.094563374,"Nitrate","0","20","Starved","Symbiotic","control-0","Nitrate_control-0_20_Starved_Symbiotic"
"137",181,"A_0_30_S_A",0,0.076755363,"Ammonium","0","30","Starved","Aposymbiotic","control-0","Ammonium_control-0_30_Starved_Aposymbiotic"
"138",187,"A_0_30_S_A",1,0.056790744,"Ammonium","0","30","Starved","Aposymbiotic","control-0","Ammonium_control-0_30_Starved_Aposymbiotic"
"139",167,"A_0_30_S_S",0,0.035602754,"Ammonium","0","30","Starved","Symbiotic","control-0","Ammonium_control-0_30_Starved_Symbiotic"
"140",182,"A_0_30_S_S",1,0.060279868,"Ammonium","0","30","Starved","Symbiotic","control-0","Ammonium_control-0_30_Starved_Symbiotic"
"141",178,"A_0_20_F_A
",0,0.076521051,"Ammonium","0","20","Fed","Aposymbiotic","control-0","Ammonium_control-0_20_Fed_Aposymbiotic"
"142",184,"A_0_20_F_A
",1,0.032269747,"Ammonium","0","20","Fed","Aposymbiotic","control-0","Ammonium_control-0_20_Fed_Aposymbiotic"
"143",166,"A_0_20_F_S",0,0.049704348,"Ammonium","0","20","Fed","Symbiotic","control-0","Ammonium_control-0_20_Fed_Symbiotic"
"144",173,"A_0_20_F_S",1,0.059218376,"Ammonium","0","20","Fed","Symbiotic","control-0","Ammonium_control-0_20_Fed_Symbiotic"
"145",168,"A_0_20_S_A",0,0.080115779,"Ammonium","0","20","Starved","Aposymbiotic","control-0","Ammonium_control-0_20_Starved_Aposymbiotic"
"146",187,"A_0_20_S_A",1,0.043754215,"Ammonium","0","20","Starved","Aposymbiotic","control-0","Ammonium_control-0_20_Starved_Aposymbiotic"
"147",167,"A_0_20_S_S",0,0.080367823,"Ammonium","0","20","Starved","Symbiotic","control-0","Ammonium_control-0_20_Starved_Symbiotic"
"148",182,"A_0_20_S_S",1,0.083088636,"Ammonium","0","20","Starved","Symbiotic","control-0","Ammonium_control-0_20_Starved_Symbiotic"
"149",164,"N_0_30_F_A",0,0.051749498,"Nitrate","0","30","Fed","Aposymbiotic","control-0","Nitrate_control-0_30_Fed_Aposymbiotic"
"150",183,"N_0_30_F_A",1,0.097586569,"Nitrate","0","30","Fed","Aposymbiotic","control-0","Nitrate_control-0_30_Fed_Aposymbiotic"
"151",161,"N_0_30_F_S",0,0.065222865,"Nitrate","0","30","Fed","Symbiotic","control-0","Nitrate_control-0_30_Fed_Symbiotic"
"152",171,"N_0_30_F_S",1,0.048432338,"Nitrate","0","30","Fed","Symbiotic","control-0","Nitrate_control-0_30_Fed_Symbiotic"
"153",166,"N_0_30_S_A",0,0.107533066,"Nitrate","0","30","Starved","Aposymbiotic","control-0","Nitrate_control-0_30_Starved_Aposymbiotic"
"154",171,"N_0_30_S_A",1,0.06725436,"Nitrate","0","30","Starved","Aposymbiotic","control-0","Nitrate_control-0_30_Starved_Aposymbiotic"
"155",164,"N_0_30_S_S",0,0.071109843,"Nitrate","0","30","Starved","Symbiotic","control-0","Nitrate_control-0_30_Starved_Symbiotic"
"156",172,"N_0_30_S_S",1,0.073622419,"Nitrate","0","30","Starved","Symbiotic","control-0","Nitrate_control-0_30_Starved_Symbiotic"
"157",161,"N_1.5_30_F_S",0,0.090699283,"Nitrate","1.5","30","Fed","Symbiotic","Low","Nitrate_Low_30_Fed_Symbiotic"
"158",183,"N_1.5_30_F_A",0,0.105224162,"Nitrate","1.5","30","Fed","Aposymbiotic","Low","Nitrate_Low_30_Fed_Aposymbiotic"
"159",171,"N_1.5_30_F_S",1,0.084072563,"Nitrate","1.5","30","Fed","Symbiotic","Low","Nitrate_Low_30_Fed_Symbiotic"
