col_num,treat_ID_full,e_coli,resp_rate,pollution,dose,temp,feed,symbiont,dose_level,new_treat_ID_full
168,N_5_30_F_A,1,-0.0035700000000000003,Nitrate,5,30,Fed,Aposymbiotic,Medium,Nitrate_Medium_30_Fed_Aposymbiotic
150,N_5_30_F_A,0,-0.0033200000000000005,Nitrate,5,30,Fed,Aposymbiotic,Medium,Nitrate_Medium_30_Fed_Aposymbiotic
149,N_5_30_F_S,0,-0.00354,Nitrate,5,30,Fed,Symbiotic,Medium,Nitrate_Medium_30_Fed_Symbiotic
153,N_5_30_F_S,1,-0.004560000000000001,Nitrate,5,30,Fed,Symbiotic,Medium,Nitrate_Medium_30_Fed_Symbiotic
167,A_0_30_F_S,0,-0.00427,Ammonium,0,30,Fed,Symbiotic,control-0,Ammonium_control-0_30_Fed_Symbiotic
178,A_0_30_F_S,1,-0.0026400000000000004,Ammonium,0,30,Fed,Symbiotic,control-0,Ammonium_control-0_30_Fed_Symbiotic
167,A_0_30_F_A,0,-0.00317,Ammonium,0,30,Fed,Aposymbiotic,control-0,Ammonium_control-0_30_Fed_Aposymbiotic
184,A_0_30_F_A,1,-0.00234,Ammonium,0,30,Fed,Aposymbiotic,control-0,Ammonium_control-0_30_Fed_Aposymbiotic
169,N_0_20_F_A,0,-0.0012300000000000002,Nitrate,0,20,Fed,Aposymbiotic,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
183,N_0_20_F_A,1,-0.0030600000000000002,Nitrate,0,20,Fed,Aposymbiotic,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
171,N_0_20_F_S,1,-0.0036000000000000003,Nitrate,0,20,Fed,Symbiotic,control-0,Nitrate_control-0_20_Fed_Symbiotic
166,N_0_20_S_A,0,-0.0028100000000000004,Nitrate,0,20,Starved,Aposymbiotic,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
184,N_0_20_S_A,1,-0.0022800000000000003,Nitrate,0,20,Starved,Aposymbiotic,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
164,N_0_20_S_S,0,-0.00201,Nitrate,0,20,Starved,Symbiotic,control-0,Nitrate_control-0_20_Starved_Symbiotic
172,N_0_20_S_S,1,-0.0026000000000000003,Nitrate,0,20,Starved,Symbiotic,control-0,Nitrate_control-0_20_Starved_Symbiotic
181,A_0_30_S_A,0,-0.00299,Ammonium,0,30,Starved,Aposymbiotic,control-0,Ammonium_control-0_30_Starved_Aposymbiotic
187,A_0_30_S_A,1,-0.0011,Ammonium,0,30,Starved,Aposymbiotic,control-0,Ammonium_control-0_30_Starved_Aposymbiotic
167,A_0_30_S_S,0,-0.0014600000000000001,Ammonium,0,30,Starved,Symbiotic,control-0,Ammonium_control-0_30_Starved_Symbiotic
182,A_0_30_S_S,1,-0.004390000000000001,Ammonium,0,30,Starved,Symbiotic,control-0,Ammonium_control-0_30_Starved_Symbiotic
178,"A_0_20_F_A
",0,-0.0029300000000000003,Ammonium,0,20,Fed,Aposymbiotic,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
184,"A_0_20_F_A
",1,-0.00152,Ammonium,0,20,Fed,Aposymbiotic,control-0,Ammonium_control-0_20_Fed_Aposymbiotic
166,A_0_20_F_S,0,-0.00185,Ammonium,0,20,Fed,Symbiotic,control-0,Ammonium_control-0_20_Fed_Symbiotic
173,A_0_20_F_S,1,-0.00201,Ammonium,0,20,Fed,Symbiotic,control-0,Ammonium_control-0_20_Fed_Symbiotic
168,A_0_20_S_A,0,-0.0035600000000000002,Ammonium,0,20,Starved,Aposymbiotic,control-0,Ammonium_control-0_20_Starved_Aposymbiotic
187,A_0_20_S_A,1,-0.00107,Ammonium,0,20,Starved,Aposymbiotic,control-0,Ammonium_control-0_20_Starved_Aposymbiotic
167,A_0_20_S_S,0,-0.00529,Ammonium,0,20,Starved,Symbiotic,control-0,Ammonium_control-0_20_Starved_Symbiotic
182,A_0_20_S_S,1,-0.0034800000000000005,Ammonium,0,20,Starved,Symbiotic,control-0,Ammonium_control-0_20_Starved_Symbiotic
164,N_0_30_F_A,0,-0.0013800000000000002,Nitrate,0,30,Fed,Aposymbiotic,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
183,N_0_30_F_A,1,-0.00445,Nitrate,0,30,Fed,Aposymbiotic,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
161,N_0_30_F_S,0,-0.00423,Nitrate,0,30,Fed,Symbiotic,control-0,Nitrate_control-0_30_Fed_Symbiotic
171,N_0_30_F_S,1,-0.0029800000000000004,Nitrate,0,30,Fed,Symbiotic,control-0,Nitrate_control-0_30_Fed_Symbiotic
166,N_0_30_S_A,0,-0.0024300000000000003,Nitrate,0,30,Starved,Aposymbiotic,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
171,N_0_30_S_A,1,-0.0024700000000000004,Nitrate,0,30,Starved,Aposymbiotic,control-0,Nitrate_control-0_30_Starved_Aposymbiotic
164,N_0_30_S_S,0,-0.00305,Nitrate,0,30,Starved,Symbiotic,control-0,Nitrate_control-0_30_Starved_Symbiotic
172,N_0_30_S_S,1,-0.0027400000000000002,Nitrate,0,30,Starved,Symbiotic,control-0,Nitrate_control-0_30_Starved_Symbiotic
161,N_1.5_30_F_S,0,-0.0048400000000000006,Nitrate,1.5,30,Fed,Symbiotic,Low,Nitrate_Low_30_Fed_Symbiotic
183,N_1.5_30_F_A,0,-0.0034800000000000005,Nitrate,1.5,30,Fed,Aposymbiotic,Low,Nitrate_Low_30_Fed_Aposymbiotic
171,N_1.5_30_F_S,1,-0.00385,Nitrate,1.5,30,Fed,Symbiotic,Low,Nitrate_Low_30_Fed_Symbiotic
165,N_1.5_30_F_A,1,-0.00272,Nitrate,1.5,30,Fed,Aposymbiotic,Low,Nitrate_Low_30_Fed_Aposymbiotic
166,N_1.5_30_S_A,0,-0.0034400000000000003,Nitrate,1.5,30,Starved,Aposymbiotic,Low,Nitrate_Low_30_Starved_Aposymbiotic
184,N_1.5_30_S_A,1,-0.00251,Nitrate,1.5,30,Starved,Aposymbiotic,Low,Nitrate_Low_30_Starved_Aposymbiotic
165,N_1.5_30_S_S,0,-0.0035800000000000003,Nitrate,1.5,30,Starved,Symbiotic,Low,Nitrate_Low_30_Starved_Symbiotic
163,N_1.5_20_F_A,0,-0.007470000000000001,Nitrate,1.5,20,Fed,Aposymbiotic,Low,Nitrate_Low_20_Fed_Aposymbiotic
169,N_1.5_20_F_A,1,-0.0024500000000000004,Nitrate,1.5,20,Fed,Aposymbiotic,Low,Nitrate_Low_20_Fed_Aposymbiotic
160,N_1.5_20_F_S,0,-0.007430000000000001,Nitrate,1.5,20,Fed,Symbiotic,Low,Nitrate_Low_20_Fed_Symbiotic
171,N_1.5_20_F_S,1,-0.00527,Nitrate,1.5,20,Fed,Symbiotic,Low,Nitrate_Low_20_Fed_Symbiotic
181,A_5_30_F_S,0,-0.0036100000000000004,Ammonium,5,30,Fed,Symbiotic,Low,Ammonium_Low_30_Fed_Symbiotic
167,A_5_30_F_S,0,-0.00447,Ammonium,5,30,Fed,Symbiotic,Low,Ammonium_Low_30_Fed_Symbiotic
167,A_5_30_F_A,0,-0.0034700000000000004,Ammonium,5,30,Fed,Aposymbiotic,Low,Ammonium_Low_30_Fed_Aposymbiotic
178,A_5_30_F_A,1,-0.0032700000000000003,Ammonium,5,30,Fed,Aposymbiotic,Low,Ammonium_Low_30_Fed_Aposymbiotic
164,N_1.5_20_S_S,0,-0.0031100000000000004,Nitrate,1.5,20,Starved,Symbiotic,Low,Nitrate_Low_20_Starved_Symbiotic
