beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
Y23B2009_exp2A,-0.00249,0.10885,-2.748872196,A_7.5_30_A,7.5,30,A,0,226
Y21B9940_exp1A,-0.00579,0.06204,-2.882403588,A_7.5_30_A,7.5,30,A,0,158
W14O62_exp3B,-0.00573,-0.01054,-3.057607677,A_7.5_30_A,7.5,30,A,0,242
Y17B87_exp2B,-0.00256,-0.04138,-1.10262031,A_7.5_30_A,7.5,30,A,0,171
Y15B82_exp1A,-0.00227,-0.05982,-3.540459449,A_7.5_30_A,7.5,30,A,0,145
Y20B21_exp3A,-0.00519,-0.03087,-2.813410717,A_7.5_30_A,7.5,30,A,0,237
Y4B31_exp1B,-0.00475,-0.0649,-2.590267165,A_7.5_30_A,7.5,30,A,0,181
Y20B100_exp2A,-0.00269,0.01462,-6.907755279,A_7.5_30_A,7.5,30,A,0,232
Y3B28_exp1B,-0.00354,0.01619,-3.123565645,A_7.5_30_S,7.5,30,S,0,167
Y13B74_exp3A,-0.00498,0.16459,-3.649658741,A_7.5_30_S,7.5,30,S,0,241
Y4B33_exp1B,-0.00635,-0.0207,-1.890475442,A_7.5_30_S,7.5,30,S,0,171
Y23B1026_exp2A,-0.00206,0.11418,-2.44184716,A_7.5_30_S,7.5,30,S,0,206
W14O64_exp3B,-0.00311,0.05748,-1.931021537,A_7.5_30_S,7.5,30,S,0,245
Y20B17_exp2A,-0.00159,-0.0123,-4.199705078,A_7.5_30_S,7.5,30,S,0,198
Y15B85_exp1A,-0.00396,0.01514,-1.120857898,A_7.5_30_S,7.5,30,S,0,157
W13O58_exp3B,-0.00396,-0.13173,-0.601479992,A_7.5_30_S,7.5,30,S,0,248
Y21B2759_exp2B,-0.00216,0.00574,0,A_7.5_30_S,7.5,30,S,0,200
Y13B72_exp3A,-0.00421,0.04575,-3.218875825,A_7.5_30_S,7.5,30,S,0,237
Y21B6232_exp1A,-0.00273,-0.05043,-5.11599581,A_7.5_30_S,7.5,30,S,0,153
Y17B92_exp2B,-0.00237,-0.09294,-0.816445397,A_7.5_30_S,7.5,30,S,0,196
B24G38_exp1A,-0.00499,-0.01723,-1.532476871,CNTRL_20_A,0,20,A,1,152
B24G39_exp2A,-0.00532,-0.00048,-1.575036486,CNTRL_20_A,0,20,A,1,210
B30G73_exp2B,-0.00606,-0.08925,-1.546463113,CNTRL_20_A,0,20,A,1,171
B28G60_exp1B,-0.00107,0.01366,-1.177655496,CNTRL_20_A,0,20,A,1,187
B26G50_exp1B,-0.00152,0.00245,-2.055725015,CNTRL_20_A,0,20,A,1,184
B23G35_exp3A,-0.0038,0.00173,-2.603690186,CNTRL_20_A,0,20,A,1,237
B27G54_exp2B,-0.00418,-0.00145,-2.864704011,CNTRL_20_A,0,20,A,1,212
B34G100_exp1A,-0.00298,0.02114,-2.465104022,CNTRL_20_A,0,20,A,1,146
B24G40_exp3A,-0.00095,-0.01612,-4.017383521,CNTRL_20_A,0,20,A,1,237
B23G35_exp2A,-0.00663,-0.0079,-2.292634762,CNTRL_20_A,0,20,A,1,231
B23G37_exp3A,-0.00414,0.04129,-2.047942875,CNTRL_20_S,0,20,S,1,241
O3B17_exp3B,-0.00325,-0.07763,NA,CNTRL_20_S,0,20,S,1,252
B24G42_exp1A,-0.00385,0.03673,-2.430418465,CNTRL_20_S,0,20,S,1,155
B24G42_exp3A,-0.00472,0.06442,-2.63108916,CNTRL_20_S,0,20,S,1,241
B27G57_exp2B,-0.00425,-0.01872,-0.707246105,CNTRL_20_S,0,20,S,1,226
O3B14_exp3B,-0.0051,0.02061,-2.44184716,CNTRL_20_S,0,20,S,1,244
B23G37_exp2A,-0.00696,0.05852,-0.94160854,CNTRL_20_S,0,20,S,1,220
B28G63_exp1B,-0.00348,-0.04939,-1.148853505,CNTRL_20_S,0,20,S,1,182
B34G3310_exp1A,-0.00378,0.01296,-2.563949857,CNTRL_20_S,0,20,S,1,153
B24G42_exp2A,-0.00631,-0.03621,-1.087672349,CNTRL_20_S,0,20,S,1,222
B26G52_exp1B,-0.00201,-0.05205,-1.924148657,CNTRL_20_S,0,20,S,1,173
B30G76_exp2B,-0.00376,-0.11082,-2.780620894,CNTRL_20_S,0,20,S,1,233
O4B22_exp3B,-0.00333,-0.01634,-1.890475442,CNTRL_20_S,0,20,S,1,247
B34G97_exp2B,-0.00586,-0.0566,-2.453407983,CNTRL_30_A,0,30,A,1,178
B29G65_exp3A,-0.00455,0.03088,-2.748872196,CNTRL_30_A,0,30,A,1,237
B33G90_exp1A,-0.00384,0.08988,-3.057607677,CNTRL_30_A,0,30,A,1,155
