num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,red_day1,red_day11,red_delta
11,08_20_22,2,B,2,1,C3,C3,-0.00219,-0.055942573,0.055942573,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G26Y51,2B,G26Y51_exp2B,196,106,0,121.1794642,95.8892629,-25.2902013
16,09_01_22,3,A,1,0,D4,D4,-0.00385,-0.02334343,0.02334343,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G47,3A,B25G47_exp3A,240,133,0,121.2535491,162.4304612,41.17691205
23,7_26_22,1,B,3,1,C6,C6,-0.00306,-0.107721772,0.107721772,N_18_30_S_A,N_18_30_S_A,S_A,N_18,N,Nitrate,18,30,S,A,R17W83,1B,R17W83_exp1B,184,54,0,121.4000929,123.1918591,1.791766182
14,7_26_22,1,A,1,0,B4,B4,-0.00224,-0.072682676,0.072682676,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G24,1A,B15G24_exp1A,149,2,0,121.455371,92.39938321,-29.05598781
9,08_15_22,2,A,2,0,A3,A3,-0.00448,-0.088975806,0.088975806,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G24Y43,2A,G24Y43_exp2A,186,74,0,121.6905281,96.09834397,-25.5921841
3,09_05_22,3,B,3,1,C1,C1,-0.0064,-0.185821765,0.185821765,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,Nitrate,5,20,S,A,O13Y8,3B,O13Y8_exp3B,244,165,0,122.0273025,118.4192119,-3.608090601
21,09_01_22,3,A,3,1,A6,A6,-0.00502,-0.140929432,0.140929432,N_18_30_F_A,N_18_30_F_A,F_A,N_18,N,Nitrate,18,30,F,A,R14W71,3A,R14W71_exp3A,237,149,0,122.2013026,86.20181808,-35.99948456
9,7_26_22,1,B,2,0,A3,A3,-0.00311,-0.080163387,0.080163387,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G34Y10,1B,G34Y10_exp1B,164,45,0,122.6521559,128.522353,5.870197127
22,08_20_22,2,B,2,0,B6,B6,-0.00349,-0.069820017,0.069820017,N_5_20_F_A,N_5_20_F_A,F_A,N_5,N,Nitrate,5,20,F,A,Y1B5,2B,Y1B5_exp2B,159,121,0,123.379477,122.0218403,-1.357636694
8,09_01_22,3,A,3,0,D2,D2,-0.00512,-0.104691345,0.104691345,N_5_30_S_S,N_5_30_S_S,S_S,N_5,N,Nitrate,5,30,S,S,Y12B65,3A,Y12B65_exp3A,239,153,0,123.6386955,125.6168202,1.978124749
