col_num,treat_ID_full,PAM_delta,pam_percent_change,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,temp_x_feed,temp_x_symbiont,feed_x_symbiont,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_feed_x_symbiont,temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_symbiont
208,N_18_20_S_S,-0.366,-0.705202312,Elevated,Elevated,20,Starved,Symbiotic,Elevated_20_Starved_Symbiotic,Elevated-x-20,Elevated-x-Starved,Elevated-x-Symbiotic,20-x-Starved,20-x-Symbiotic,Starved-x-Symbiotic,Elevated-x-20-x-Starved,Elevated-x-20-x-Symbiotic,Elevated-x-Starved-x-Symbiotic,20-x-Starved-x-Symbiotic,Elevated-x-20-x-Starved-x-Symbiotic
248,A_10_29_F_S,-0.366,-0.709302326,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
233,A_0_20_S_A,-0.371,-0.837471783,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
241,A_5_20_F_S,-0.372,-0.67027027,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
220,A_0_29_F_S,-0.373,-0.778705637,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
217,A_7.5_20_S_S,-0.373,-0.644214162,Low,Low,20,Starved,Symbiotic,Low_20_Starved_Symbiotic,Low-x-20,Low-x-Starved,Low-x-Symbiotic,20-x-Starved,20-x-Symbiotic,Starved-x-Symbiotic,Low-x-20-x-Starved,Low-x-20-x-Symbiotic,Low-x-Starved-x-Symbiotic,20-x-Starved-x-Symbiotic,Low-x-20-x-Starved-x-Symbiotic
239,N_1.5_20_F_S,-0.38,-0.65404475,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
226,A_0_29_F_S,-0.381,-0.660311958,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
207,N_5_29_S_A,-0.381,-0.90070922,Elevated,Elevated,29,Starved,Aposymbiotic,Elevated_29_Starved_Aposymbiotic,Elevated-x-29,Elevated-x-Starved,Elevated-x-Aposymbiotic,29-x-Starved,29-x-Aposymbiotic,Starved-x-Aposymbiotic,Elevated-x-29-x-Starved,Elevated-x-29-x-Aposymbiotic,Elevated-x-Starved-x-Aposymbiotic,29-x-Starved-x-Aposymbiotic,Elevated-x-29-x-Starved-x-Aposymbiotic
220,A_5_29_F_S,-0.383,-0.862612613,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
253,A_10_29_F_S,-0.384,-0.699453552,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
